Country,Year,Merchandise imports (current US$) [TM.VAL.MRCH.CD.WT],GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population, total [SP.POP.TOTL]",Food imports (% of merchandise imports) [TM.VAL.FOOD.ZS.UN],Food imports (current US$),Food imports per capita (current US$),Food imports (% GDP)
"Bahamas, The",1987,1064000000,2713999900,11150.6900362788,243393,7.27864921965627,77444827.6971427,318.1883936561146,2.853530970916495
"Bahamas, The",1988,888000000,2817900000,11381.8215599869,247579,9.39782532604185,83452688.89525163,337.074989782056,2.961520596729892
"Bahamas, The",1989,1516000000,3062000000,12158.078848834,251849,,,,
"Bahamas, The",1990,1738000000,3166000000,12350.9768428937,256336,,,,
"Bahamas, The",1991,1806000000,3111160000,11914.8577643653,261116,,,,
"Bahamas, The",1992,1038000000,3109000000,11682.084964717,266134,,,,
"Bahamas, The",1993,954000000,3092000000,11402.651522136,271165,,,,
"Bahamas, The",1994,1056000000,3259000000,11812.4648870041,275895,,,,
"Bahamas, The",1995,1243000000,3429000000,12239.8714974121,280150,18.7574751574175,233155416.20669952,832.2520657030145,6.7995163664829255
"Bahamas, The",1996,1366000000,3609000000,12717.1500052856,283790,,,,
"Bahamas, The",1997,1666000000,6332360000,22066.2787050911,286970,16.265487640615,270983024.0926459,944.2904278936679,4.279336994306165
"Bahamas, The",1998,1873000000,6833220000,23557.9535268565,290060,16.4936223771702,308925547.1243979,1065.0401541901601,4.520936646623376
"Bahamas, The",1999,1757000000,7683870000,26173.7154769528,293572,17.995557775329,316181950.1125306,1077.01671178631,4.114878962196531
"Bahamas, The",2000,2074000000,8076470000,27112.2562019537,297890,16.7172699726526,346716179.2328149,1163.906741524774,4.2929173170062525
"Bahamas, The",2001,1912000000,8317830000,27439.3587015686,303135,17.5055713011614,334706523.27820593,1104.1500429782307,4.023964462825111
"Bahamas, The",2002,1728000000,8881160000,28727.0221926076,309157,18.6425661995033,322143543.92741704,1042.0063072400658,3.627268779387119
"Bahamas, The",2003,1762000000,8870090000,28092.4857322025,315746,18.1266374847176,319391352.4807241,1011.5452055789277,3.6007678893982367
"Bahamas, The",2004,1905000000,9055290000,28076.1551006741,322526,18.3550981561057,349664619.8738136,1084.1439755982885,3.8614403279609335
"Bahamas, The",2005,2311600000,9836200000,29874.6541371424,329249,15.6437057300019,361619901.65472394,1098.3173879183353,3.676418755766698
"Bahamas, The",2006,2727300000,10167250000,30274.9903224846,335830,14.7778544718869,403036425.01177144,1200.1203734382618,3.964065258666517
"Bahamas, The",2007,2956300000,10618340000,31018.0294921829,342328,15.214841100211,449796347.44553775,1313.9338512933145,4.236032632648208
"Bahamas, The",2008,3199000000,10526000000,30188.4844382751,348676,15.6419465008009,500385868.5606208,1435.1026986675904,4.753808365576865
"Bahamas, The",2009,2535300000,9981960000,28129.6075027617,354856,18.3716068943149,465775349.59156567,1312.5756633439075,4.6661712688847246
"Bahamas, The",2010,2590600000,10095760000,27979.1149343739,360832,17.529266361099,454113174.35063076,1258.5169118887204,4.498058336872417
"Bahamas, The",2011,2965700000,10070450000,27472.2561707514,366568,15.8600500029136,470361502.93640864,1283.149382751382,4.670709878271662
"Bahamas, The",2012,3385500000,10720500000,28815.527404385,372039,15.8754204691565,537462359.9832933,1444.6398361013046,5.013407583445672
"Bahamas, The",2013,3165900000,10627600000,28171.9860036051,377240,16.1053018844136,509877752.35865015,1351.6004462905582,4.797675414568201
"Bahamas, The",2014,3344200000,10957300000,28671.3469695344,382169,16.051069252195,536779857.93190515,1404.561484400632,4.898833270348582
"Bahamas, The",2015,2954000000,11792300000,30483.8201004038,386838,19.3342990872855,571135195.0384136,1476.4195736675654,4.843289222954077
"Bahamas, The",2016,2650900000,11838800000,30260.3059054474,391232,,,,
"Bahamas, The",2017,2890000000,12162100000,30762.0124392644,395361,,,,
Barbados,1987,515000000,1713771321.27522,6652.55490361524,257611,19.4054174886507,99937900.06655109,387.9411207850251,5.831460640395543
Barbados,1988,582000000,1822815594.37716,7050.7745588552,258527,19.7882509929809,115167620.77914883,445.4761815173999,6.318116935931776
Barbados,1989,673000000,2015731028.99116,7769.00704156804,259458,18.3848724909253,123730191.86392726,476.8794635892023,6.13822926195923
Barbados,1990,704000000,2023318251.8769,7770.81525757908,260374,17.3810405157061,122362525.23057094,469.94909334484606,6.047616340981614
Barbados,1991,699000000,2007109829.46353,7681.98193268981,261275,18.6365423673423,130269431.14772269,498.5912588181904,6.490398743278625
Barbados,1992,524000000,1950900000,7440.95749549934,262184,21.6372882121013,113379390.2314108,432.4420644715574,5.811645406295084
Barbados,1993,577000000,2046189031.96937,7777.55448524786,263089,19.8951259508915,114794876.73664396,436.3347640404728,5.610179457670085
Barbados,1994,615000000,2151295182.22045,8148.38241092534,264015,20.5620904267608,126456856.12457892,478.976028349067,5.878173166085792
Barbados,1995,771000000,2261969870.23318,8537.0561869315,264959,18.2619809675897,140799873.26011658,531.4024934428217,6.224657326916645
Barbados,1996,833000000,2411872918.01323,9069.16890905997,265942,17.6714744410077,147203382.09359413,553.5168649314292,6.103281022569477
Barbados,1997,996000000,2549296474.91672,9549.89407899275,266945,17.6861561730285,176154115.48336387,659.889173737526,6.909910919212268
Barbados,1998,1010000000,2874459304.92716,10727.5958385041,267950,16.7343433553751,169016867.8892885,630.7776372057791,5.879953408961951
Barbados,1999,1108000000,3012081738.17929,11200.5776328426,268922,16.3120429792992,180737436.21063513,672.0812585457312,6.000416055106304
Barbados,2000,1156000000,3121500000,11567.6661219135,269847,15.4221999552866,178280631.4831131,660.673016498657,5.7113769496432205
Barbados,2001,1087000000,3116650000,11513.9368638824,270685,17.1504909124429,186425836.21825433,688.718755077874,5.981609619888481
Barbados,2002,1039000000,3169600000,11675.3475419739,271478,18.8688229905645,196047070.87196514,722.1471753584642,6.185230655980727
Barbados,2003,1195000000,3274850000,12028.4803385025,272258,17.0426257143489,203659377.28646937,748.0381744024762,6.218891774782643
Barbados,2004,1412950000,3514350000,12868.7873273012,273091,20.0979098917732,283973417.8158094,1039.8490533038782,8.080396597260075
Barbados,2005,1604450000,3897300000,14223.2554405147,274009,15.0988750890839,242253901.36680666,884.1092860701899,6.215941840936203
Barbados,2006,1697361000,4246600000,15439.9921465683,275039,15.3246938065702,260115376.042138,945.739971575442,6.125261998825837
Barbados,2007,1746179000,4523750000,16381.4955640051,276150,20.3641837367797,355595099.93306243,1287.688212685361,7.860626690976788
Barbados,2008,1920188000,4607300000,16613.7192186615,277319,18.9535385010883,363943571.87327737,1312.3643597203127,7.899280964410335
Barbados,2009,1449426000,4434050000,15922.9001328689,278470,20.6346941891188,299084622.59757704,1074.028163168661,6.745179296525232
Barbados,2010,1569415000,4461650000,15959.0297922874,279569,24.9105084625774,390949256.38795906,1398.399881202705,8.762436685709526
Barbados,2011,1804907000,4660900000,16610.4183520372,280601,18.5861643742034,335462981.82150334,1195.5159882591415,7.19738638077417
Barbados,2012,1779646000,4656350000,16536.2146421152,281585,19.0009130933009,338148989.8284057,1200.8771412838244,7.262104219579836
Barbados,2013,1758930000,4612500000,16326.9134788626,282509,19.6209442960807,345118675.50705224,1221.6201094728035,7.482247707469967
Barbados,2014,1739134000,4608350000,16261.7993189477,283385,19.7417450794828,343335400.8706124,1211.5510731711713,7.450289167936732
Barbados,2015,1618092000,4584150000,16129.0492827663,284217,21.4893484716902,347717428.4725414,1223.422344449985,7.585210529161161
Barbados,2016,1621538500,4529050000,15891.6265491446,284996,21.1434345527484,342848931.4951181,1202.995591149062,7.569996610660472
Barbados,2017,1695000000,4796845980.8226,16788.6839195944,285719,21.9526218948223,372096941.117238,1302.3178056665395,7.757116709705738
Grenada,1987,89000000,215009555.555556,2163.509313298,99380,27.2202113140675,24225988.069520075,243.77126252284236,11.267400654321317
Grenada,1988,92000000,236357518.518519,2410.28653829739,98062,26.9943593517093,24834810.60357256,253.25621141290773,10.507307217995992
Grenada,1989,99000000,267327629.62963,2759.68193776781,96869,28.1318239159671,27850505.67680743,287.50689773619456,10.418117167833723
Grenada,1990,105000000,278098777.777778,2888.34766031156,96283,28.0038442213935,29404036.432463173,305.39177666320296,10.573234685683957
Grenada,1991,121000000,300757888.888889,3118.14843229818,96454,26.0189050990325,31482875.169829328,326.4030021546989,10.467846840572902
Grenada,1992,107000000,310160444.444444,3191.01673331184,97198,,,,
Grenada,1993,118000000,309812185.185185,3151.54046269452,98305,25.4687496107029,30053124.540629424,305.71308214871493,9.70043335211805
Grenada,1994,119000000,325111814.814815,3270.57808777038,99405,26.6090944223148,31664822.36255461,318.5435577944229,9.73967137447497
Grenada,1995,124000000,342172518.518519,3413.02197913838,100255,27.4758582958249,34070064.28682288,339.83406599992895,9.956984399078486
Grenada,1996,152000000,366911444.444444,3640.13893849403,100796,26.1858919780491,39802555.80663463,394.8822949981609,10.848000630479474
Grenada,1997,173000000,392190592.592593,3878.39038579728,101122,23.312187222553,40330083.895016685,398.82601110556243,10.2832869162957
Grenada,1998,200000000,445903592.592593,4401.42132083618,101309,20.341541832719,40683083.665438,401.57422998389086,9.123739826561287
Grenada,1999,202000000,482009370.37037,4751.57597809951,101442,20.1774344383614,40758417.56549003,401.7903586826958,8.455938840809624
Grenada,2000,239000000,520044370.37037,5117.58992285272,101619,18.3962338586391,43966998.922147445,432.6651405952376,8.454470700420163
Grenada,2001,212000000,520444185.185185,5109.95871520766,101849,20.1486317523151,42715099.31490801,419.396354553388,8.207431369361746
Grenada,2002,199000000,540336925.925926,5292.23237929408,102100,21.6135768303975,43011017.89249102,421.2636424338004,7.960036752769945
Grenada,2003,254420000,591018407.407407,5773.07357662913,102375,17.8525166004397,45420372.73483869,443.6666445405488,7.685102894524406
Grenada,2004,233450000,599118592.592593,5836.17706312921,102656,23.6043183411279,55104281.167363085,536.7857813217258,9.197558187755089
Grenada,2005,328144444.444444,695370296.296296,6754.5123925079,102949,16.4438268846123,53959504.37591716,524.1382080051012,7.759823027143672
Grenada,2006,298908000,698700666.666667,6766.48685990245,103259,18.6898848418539,55865560.98308865,541.0236491065054,7.995635849270021
Grenada,2007,365125000,758683592.592593,7324.19045616775,103586,18.2057957242532,66473911.63817949,641.7267935645694,8.761743668532905
Grenada,2008,363304000,825977888.888889,7947.44432684392,103930,20.8673438938716,75811895.06019127,729.4515064003779,9.178441224640281
Grenada,2009,281828000,771278111.111111,7395.08812525035,104296,24.0894646200165,67890856.3493001,650.9440088718657,8.802383390797369
Grenada,2010,318010000,771015888.888889,7365.6666592364,104677,,,,
Grenada,2011,335563000,778648666.666667,7410.408438417,105075,,,,
Grenada,2012,341267000,799882148.148148,7583.18700190696,105481,,,,
Grenada,2013,368437000,842620111.111111,7956.07654789594,105909,,,,
Grenada,2014,339553000,911481481.481481,8569.77699775744,106360,,,,
Grenada,2015,371989000,997007925.925926,9333.2702313727,106823,,,,
Grenada,2016,350509000,1056188592.59259,9841.76405036101,107317,,,,
Grenada,2017,395000000,1118816679.40741,10376.2270290508,107825,,,,
Jamaica,1987,1238000000,3286987551.71597,1381.50572157194,2379279,18.0588957549861,223569129.44672793,93.96507490156804,6.8016421093537085
Jamaica,1988,1440000000,3828310734.97795,1599.43862714211,2393534,19.0832083884264,274798200.79334015,114.80856373602387,7.178053711330278
Jamaica,1989,1852000000,4404970058.83786,1829.51923763472,2407720,18.7305126711911,346889094.67045915,144.07368575684015,7.874947843844756
Jamaica,1990,1928000000,4592224067.37194,1894.29275929216,2424242,15.133971156174,291782963.8910347,120.36049366813822,6.353848584266005
Jamaica,1991,1823000000,4071219198.03601,1666.01363677457,2443689,14.3671361418044,261912891.86509418,107.17930631315777,6.433279052904918
Jamaica,1992,1676000000,3530892749.02131,1432.20052431299,2465362,14.7950320994122,247964737.98614848,100.57944350004117,7.02272075680801
Jamaica,1993,2132000000,5405097570.68897,2171.78425860078,2488782,14.0262869356392,299040437.4678278,120.15533601087914,5.532563169432483
Jamaica,1994,2224000000,5419134875.33794,2156.39841297879,2513049,13.998796991658,311333245.0944739,123.88665923126604,5.745072825393721
Jamaica,1995,2818000000,6538840169.73126,2576.94375817015,2537440,14.3390512701535,404074464.7929256,159.24493378874993,6.179604552247874
Jamaica,1996,2965000000,7368000000,2875.88607775275,2561993,14.6225917451175,433559845.2427339,169.22756824188588,5.8843627204497
Jamaica,1997,3132000000,8375077442.97381,3237.5869909251,2586827,16.7367679237158,524195571.37077886,202.6403665072225,6.258993722028776
Jamaica,1998,3035000000,8763219645.29332,3355.79780448069,2611367,18.2420291936419,553645586.0270317,212.013702412197,6.31783303896065
Jamaica,1999,2899000000,8851581632.65306,3359.3844554151,2634882,17.4886139013831,506994917.0010961,192.41655489737155,5.727732489421056
Jamaica,2000,3326000000,8985352831.94058,3381.93932092142,2656864,15.460300647421,514209599.53322244,193.540053060007,5.722753565172663
Jamaica,2001,3360000000,9178016493.05556,3428.45677251814,2677011,15.328465637031,515036445.40424156,192.3923530401039,5.611631290856123
Jamaica,2002,3533000000,9694169756.90153,3596.49933884839,2695446,15.1583124520344,535543178.93037534,198.6844399518207,5.524384164503704
Jamaica,2003,3638620000,9399447609.1835,3465.22008912904,2712511,15.0473578434319,547516171.9626818,201.8484614302695,5.824982432241491
Jamaica,2004,3940000000,10150978154.5484,3719.97350994545,2728777,15.0909689304763,594584175.8607663,217.89401474021741,5.857407698137425
Jamaica,2005,4739442000,11204416000,4082.24076237861,2744673,14.5884244050855,691409913.3928722,251.90975879198442,6.170869712378336
Jamaica,2006,5650427000,11905525197.3285,4313.16008176292,2760279,14.3214507825045,809223121.8063455,293.16714788843643,6.797038420345608
Jamaica,2007,6893000000,12824094989.8639,4620.51791279229,2775467,12.6791874415467,873976390.345814,314.89345409108233,6.8151116397422244
Jamaica,2008,8465405000,13678606692.2655,4902.51203792002,2790122,12.2083004328487,1033482075.2573956,370.40748585810786,7.555463056348956
Jamaica,2009,5064256000,12038829246.2425,4293.32282231494,2804082,18.1064226887584,916955597.4008086,327.00741183774534,7.616650910527735
Jamaica,2010,5225227000,13191645685.5116,4682.52124815387,2817210,17.6686674744623,923227983.4158221,327.7100334784493,6.998580809593791
Jamaica,2011,6439425000,14439910353.0576,5103.35609703138,2829493,16.7252389190517,1077009216.263145,380.63681948078505,7.458558882500902
Jamaica,2012,6331064000,14800165406.7733,5209.5061889556,2840992,16.5913106319138,1050406494.5452671,369.732295812613,7.097261859415087
Jamaica,2013,6216155000,14274983015.9485,5005.59224938734,2851807,17.401504415235,1081704486.7828512,379.30494131715477,7.577623634118051
Jamaica,2014,5835517000,13897723431.3942,4855.80048104555,2862087,16.6767330236324,973173590.6386827,340.0223650219867,7.002395719289798
Jamaica,2015,4993030000,14186886642.6685,4939.83728131233,2871934,17.9984395344696,898667485.4879276,312.91369700276107,6.334494016362223
Jamaica,2016,4767089000,14056908749.3505,4878.57579137263,2881355,18.6040313662655,886870732.8177924,307.79641273560264,6.3091448385390585
Jamaica,2017,5670000000,14768134912.4171,5109.5526491955,2890299,16.2321354509052,920362080.0663248,318.4314425830424,6.232080662348778
Japan,1987,151033000000,2532808573157.03,20745.2520919399,122091000,16.6265846474108,25111629590.523956,205.6796126702538,0.9914539083869044
Japan,1988,187378000000,3071683013178.91,25051.8543154389,122613000,17.2307443245769,32286624100.505703,263.32137783518635,1.0511053374316774
Japan,1989,209715000000,3054914166263.18,24813.2993783357,123116000,16.0991584781433,33762350202.43822,274.23202672632493,1.1051816308062385
Japan,1990,235368000000,3132817652848.04,25359.34702031,123537000,14.7314075359224,34673019289.14983,280.6691055242545,1.1067678726091397
Japan,1991,236999000000,3584420077100.84,28925.0415756881,123921000,15.6792420177197,37159646789.57551,299.86561429923506,1.0366989914762188
Japan,1992,233246000000,3908809463463.86,31464.549046228,124229000,17.1972069432718,40111797306.90375,322.8859389265288,1.0261896283723684
Japan,1993,241624000000,4454143876947.21,35765.9140886748,124536000,17.5069718125158,42301045572.27318,339.6692167106152,0.9497009243730481
Japan,1994,275235000000,4907039384469.68,39268.5668686204,124961000,18.1412740302175,49931135577.06914,399.57375162706074,1.0175409583036261
Japan,1995,335882000000,5449116304981.1,43440.3678678967,125439000,16.1944988579597,54394406654.09221,433.63233646706533,0.998224365377734
Japan,1996,349152000000,4833712542207.1,38436.9263119118,125757000,15.5350667530822,54240996269.72156,431.31592094055645,1.12213946932299
Japan,1997,338754000000,4414732843544.43,35021.7190917159,126057000,14.6746795894625,49711064096.48779,394.353856560824,1.126026553773899
Japan,1998,280484000000,4032509760872.94,31902.7670955137,126400000,15.8689874226981,44509970682.68054,352.1358440085486,1.1037783743155831
Japan,1999,309995000000,4562078822335.45,36026.5560750168,126631000,15.1530169017103,46973594744.45685,370.9486203572336,1.0296532912688652
Japan,2000,379511000000,4887519660744.86,38532.0408752935,126843000,12.7878292925791,48531218826.55987,382.60856985848545,0.9929621197506076
Japan,2001,349089000000,4303544259842.72,33846.4656414342,127149000,13.0498625156074,45555634557.10871,358.2854332877861,1.0585608467466676
Japan,2002,337194000000,4115116279069.77,32289.3505360726,127445000,13.2608644713978,44714839345.685104,350.85597195405944,1.0865996563235143
Japan,2003,382930000000,4445658071221.86,34808.3909176613,127718000,12.2998578514723,47099845670.642876,368.78001276752593,1.0594572258162398
Japan,2004,454542000000,4815148854362.11,37688.7223359406,127761000,11.5797423950606,52634792677.35635,411.97855900749335,1.093108318544997
Japan,2005,515866388000,4755410630912.14,37217.648727917,127773000,10.3972715529177,53636029210.58806,419.7759245739558,1.127894799703135
Japan,2006,579063945000,4530377224970.4,35433.988963743,127854000,9.00328578468814,52134781844.439354,407.76809364149227,1.1507823577490277
Japan,2007,622243336000,4515264514430.57,35275.2284312667,128001000,8.89168245988851,55327901564.93713,432.24585405533657,1.2253523882844914
Japan,2008,762533921000,5037908465114.48,39339.2975731826,128063000,8.663207569979,66059896367.72969,515.8390508400529,1.3112563839769675
Japan,2009,551980631000,5231382674593.7,40855.1756354596,128047000,10.4524376926942,57695431531.01528,450.58011145138335,1.1028715565239404
Japan,2010,694059160000,5700098114744.41,44507.6763859172,128070000,9.23049772920671,64065115003.15117,500.23514486726924,1.1239300396853578
Japan,2011,855380474000,6157459594823.72,48167.9972684965,127833000,9.23478693601057,78992564266.13728,617.9356212099949,1.2828758849273252
Japan,2012,885843335000,6203213121334.12,48603.4766497749,127629000,8.8992095800352,78833054932.42331,617.6735297810318,1.2708422778720965
Japan,2013,833166061000,5155717056270.83,40454.4474578903,127445000,8.60518042441985,71695442784.08194,562.5598711921373,1.3906008029839367
Japan,2014,812208203000,4850413536037.84,38109.4121125573,127276000,8.4651118900411,68754333164.04216,540.1987268930683,1.4174942539065556
Japan,2015,647982177000,4394977752877.82,34567.7456750995,127141000,10.0116430663802,64873662694.99998,510.2497439456979,1.4760862589695902
Japan,2016,607602355000,4949273341993.88,38972.3406391468,126994511,10.3313851563418,62773739514.053215,494.30277749605426,1.2683425459941153
Japan,2017,671920750728.351,4872136945507.59,38428.0973168279,126785797,10.0276517389516,67377872844.78812,531.4307630592732,1.3829223931588102
New Zealand,1987,7276000000,40338594862.2717,12319.3851888199,3274400,6.72179160380937,489077557.09316975,149.36402305557345,1.2124308215569484
New Zealand,1988,7342000000,45493075684.38,13855.4777621916,3283400,7.70432503965876,565651544.4117461,172.27616020337032,1.2433794284125794
New Zealand,1989,8784000000,44170562821.8027,13388.2646768316,3299200,7.44774662891008,654210063.8834615,198.2935450665196,1.4810996783598642
